type	startup	shutdown	n	c2	c1	c0	line_1	line_2
2	300	300	3	0.01	40	0	60	60
2	300	300	3	0.01	40	0	60	60
2	300	300	3	0.01	40	0	60	60
2	300	300	3	0.01	40	0	60	60
2	250	250	3	0.0222222	20	0	50	50
2	400	400	3	0.117647	20	0	80	80
2	300	300	3	0.01	40	0	60	60
2	300	300	3	0.01	40	0	60	60
2	300	300	3	0.01	40	0	60	60
2	300	300	3	0.01	40	0	60	60
2	275	275	3	0.0454545	20	0	55	55
2	265	265	3	0.0318471	20	0	53	53
2	300	300	3	0.01	40	0	60	60
2	600	600	3	1.42857	20	0	120	120
2	300	300	3	0.01	40	0	60	60
2	300	300	3	0.01	40	0	60	60
2	300	300	3	0.01	40	0	60	60
2	300	300	3	0.01	40	0	60	60
2	300	300	3	0.01	40	0	60	60
2	480	480	3	0.526316	20	0	60	60
2	275	275	3	0.0490196	20	0	55	55
2	350	350	3	0.208333	20	0	70	70
2	300	300	3	0.01	40	0	60	60
2	300	300	3	0.01	40	0	60	60
2	320	320	3	0.0645161	20	0	60	60
2	275	275	3	0.0625	20	0	55	55
2	300	300	3	0.01	40	0	60	60
2	250	250	3	0.0255754	20	0	50	50
2	250	250	3	0.0255102	20	0	50	50
2	200	200	3	0.0193648	20	0	40	40
2	300	300	3	0.01	40	0	60	60
2	300	300	3	0.01	40	0	60	60
2	300	300	3	0.01	40	0	60	60
2	300	300	3	0.01	40	0	60	60
2	300	300	3	0.01	40	0	60	60
2	300	300	3	0.01	40	0	60	60
2	200	200	3	0.0209644	20	0	40	40
2	300	300	3	0.01	40	0	60	60
2	650	650	3	2.5	20	0	80	80
2	200	200	3	0.0164745	20	0	40	40
2	300	300	3	0.01	40	0	60	60
2	300	300	3	0.01	40	0	60	60
2	300	300	3	0.01	40	0	60	60
2	300	300	3	0.01	40	0	60	60
2	250	250	3	0.0396825	20	0	50	50
2	350	350	3	0.25	20	0	70	70
2	300	300	3	0.01	40	0	60	60
2	300	300	3	0.01	40	0	60	60
2	300	300	3	0.01	40	0	60	60
2	300	300	3	0.01	40	0	60	60
2	350	350	3	0.277778	20	0	70	70
2	300	300	3	0.01	40	0	60	60
2	300	300	3	0.01	40	0	60	60
2	300	300	3	0.01	40	0	60	60
